UNITID,INSTNM,CIPCODE,CIP_Title,AWLEVEL,CTOTALT,SOC,SOC_Title
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,2,1,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,2,1,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,3,1,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,3,1,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,21,7,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
197850,South Piedmont Community College,1.0102,Agribusiness/Agricultural Business Operations,21,7,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
197850,South Piedmont Community College,11.0103,Information Technology,3,6,11-3021.00,Computer and Information Systems Managers
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1211.00,Computer Systems Analysts
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1211.01,Health Informatics Specialists
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1212.00,Information Security Analysts
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1221.00,Computer and Information Research Scientists
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1241.00,Computer Network Architects
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1241.01,Telecommunications Engineering Specialists
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1243.00,Database Architects
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1243.01,Data Warehousing Specialists
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1252.00,Software Developers
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-1253.00,Software Quality Assurance Analysts and Testers
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-2051.00,Data Scientists
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-2051.01,Business Intelligence Analysts
197850,South Piedmont Community College,11.0103,Information Technology,3,6,15-2051.02,Clinical Data Managers
197850,South Piedmont Community College,11.0103,Information Technology,21,54,11-3021.00,Computer and Information Systems Managers
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1211.00,Computer Systems Analysts
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1211.01,Health Informatics Specialists
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1212.00,Information Security Analysts
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1221.00,Computer and Information Research Scientists
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1241.00,Computer Network Architects
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1241.01,Telecommunications Engineering Specialists
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1243.00,Database Architects
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1243.01,Data Warehousing Specialists
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1252.00,Software Developers
